10.058	-2.134	-0.56
10.99	-2.135	-0.609
12.107	-2.136	-0.672
13.225	-2.136	-0.735
14.529	-2.137	-0.807
15.832	-2.137	-0.879
17.323	-2.137	-0.962
18.999	-2.138	-1.058
20.862	-2.138	-1.159
22.911	-2.139	-1.271
25.146	-2.139	-1.399
27.567	-2.14	-1.53
30.175	-2.141	-1.677
33.155	-2.142	-1.844
36.322	-2.143	-2.018
39.861	-2.145	-2.216
43.586	-2.148	-2.428
47.87	-2.147	-2.666
52.527	-2.15	-2.923
57.556	-2.152	-3.202
63.144	-2.154	-3.513
69.104	-2.157	-3.85
75.81	-2.16	-4.222
83.26	-2.163	-4.636
91.27	-2.169	-5.085
100.024	-2.173	-5.575
109.71	-2.179	-6.117
120.141	-2.185	-6.698
131.875	-2.193	-7.354
144.541	-2.202	-8.062
158.511	-2.211	-8.839
173.785	-2.22	-9.68
190.549	-2.231	-10.604
208.989	-2.244	-11.614
229.105	-2.26	-12.715
251.271	-2.278	-13.922
275.485	-2.299	-15.231
301.935	-2.324	-16.651
331.178	-2.353	-18.211
363.03	-2.388	-19.894
398.047	-2.428	-21.723
436.604	-2.473	-23.72
478.7	-2.526	-25.866
524.893	-2.585	-28.184
575.371	-2.652	-30.672
630.878	-2.726	-33.356
691.786	-2.806	-36.235
758.655	-2.89	-39.324
831.671	-2.978	-42.621
911.951	-3.063	-46.157
1000.054	-3.142	-49.953
1096.539	-3.204	-54.036
1202.337	-3.239	-58.474
1318.194	-3.232	-63.36
1445.413	-3.165	-68.86
1584.925	-3.016	-75.22
1737.848	-2.765	-82.858
1905.486	-2.408	-92.458
2089.329	-1.999	-105.152
2290.867	-1.749	-122.68
2511.963	-2.252	-146.664
2754.293	-4.406	-173.731
3019.907	-7.656	-193.963
3311.224	-10.877	-207.032
3630.854	-13.902	-216.26
3981.031	-16.8	-223.357
4365.109	-19.617	-229.081
4786.253	-22.383	-233.877
5248.003	-25.116	-237.961
5754.456	-27.832	-241.546
6309.524	-30.541	-244.751
6918.237	-33.263	-247.677
7585.809	-36.01	-250.415
8317.642	-38.994	-261.531
9120.069	-41.849	-267.568
9999.983	-44.703	-275.236
10964.833	-47.488	-285.208
12022.629	-49.989	-298.012
13182.499	-51.93	-313.125
14454.313	-53.114	-328.537
15848.875	-53.63	-341.912
17377.92	-53.75	-352.042
19054.674	-53.713	-359.087
20892.918	-53.642	-363.879
22908.673	-53.592	-367.001
25118.887	-53.571	-368.891
27542.375	-53.581	-369.882
30199.438	-53.622	-370.302
33113.174	-53.676	-370.173
36307.797	-53.745	-369.673
39810.687	-53.819	-368.957
43651.648	-53.901	-368.067
47863.089	-53.982	-366.964
52480.772	-54.065	-365.802
57544	-54.152	-364.466
63095.801	-54.242	-363.084
69183.111	-54.338	-361.576
75857.714	-54.436	-359.895
83176.419	-54.542	-358.122
91201.067	-54.652	-356.189
100000.016	-55.184	-354.803
109647.773	-54.899	-351.53
120226.48	-55.041	-348.771
131825.73	-55.194	-345.455
144544.058	-55.343	-341.404
158489.309	-55.472	-336.39
173780.136	-55.538	-330.108
190545.991	-55.5	-321.131
