36,37,1
4,44,1
25,46,1
32,33,1
24,33,3
8,9,2
1,41,2
25,45,1
9,99,1
21,41,1
10,50,1
29,48,1
18,21,1
25,44,1
30,38,1
42,45,2
49,8,2
24,27,2
37,47,4
29,47,1
27,29,1
18,20,1
7,9,3
25,43,1
30,37,1
46,48,2
46,5,1
42,44,1
19,32,1
24,26,1
38,8,1
37,46,4
29,46,2
27,28,1
33,42,3
7,8,1
25,42,1
30,36,1
46,47,1
1,34,2
28,29,1
12,18,3
35,5,2
42,43,1
19,31,1
38,7,1
24,25,1
11,16,1
1,3,2
20,21,1
30,35,1
1,33,1
15,19,1
35,4,1
38,6,1
11,15,3
1,2,2
30,34,1
1,32,1
12,16,1
33,36,1
38,5,1
27,6,3
34,37,3
11,14,1
37,39,2
49,50,3
30,33,2
1,31,1
37,7,2
33,35,1
25,35,3
22,44,1
15,17,1
27,5,3
10,40,3
34,36,3
11,13,1
23,45,2
37,38,1
26,47,1
30,32,3
37,6,1
12,14,1
33,34,1
25,34,3
22,43,2
34,35,3
11,12,2
23,44,1
2,42,3
26,46,1
50,99,1
37,5,1
12,13,1
22,42,1
37,40,3
23,43,1
26,45,1
23,3,2
26,5,2
25,32,3
22,41,1
25,28,2
38,48,2
23,42,1
26,44,1
47,49,2
10,29,2
17,31,1
43,45,2
25,27,1
38,47,3
1,19,2
23,41,1
44,46,2
26,43,2
47,48,1
39,48,2
2,35,3
25,30,2
1,22,3
40,9,2
43,44,1
35,44,2
25,26,1
44,45,1
21,22,1
2,34,2
40,8,1
48,7,1
47,50,2
39,50,3
30,6,2
18,41,3
2,33,1
13,17,4
40,7,1
30,5,1
31,34,4
6,7,2
2,32,1
23,34,3
16,18,1
40,6,2
35,37,2
24,46,2
17,19,1
38,39,1
30,4,1
27,48,1
31,33,1
2,31,1
16,21,1
13,15,1
28,49,1
35,36,1
3,43,1
24,45,1
10,99,1
27,47,1
31,32,1
16,20,3
47,6,1
20,41,3
39,9,2
28,48,1
5,7,3
27,50,3
10,9,2
3,42,3
24,44,1
27,46,1
33,4,1
36,6,2
39,8,1
28,47,1
38,40,2
5,6,2
24,43,1
29,99,3
22,25,1
27,45,1
36,5,1
28,50,2
39,7,1
23,26,3
36,46,4
28,46,1
2,3,2
26,28,1
24,42,1
45,47,2
22,24,1
27,44,2
48,49,1
39,40,3
36,4,1
39,6,1
28,7,3
36,45,1
28,45,3
26,27,1
24,41,2
45,46,1
22,23,1
3,35,1
41,42,1
28,6,2
23,24,1
32,36,3
3,34,1
14,18,3
49,99,1
36,39,3
48,50,1
32,35,1
3,33,1
40,99,2
10,49,1
30,45,1
36,38,2
28,38,3
24,4,3
25,47,3
32,34,1
3,32,1
14,16,1
10,48,4
