waveform	[0]	
t0	2016/05/31  13:58:31.004431	
delta t	8.000000E-7	

time[0]	Y[0]
2016/05/31  13:58:31.004520	-5.346839E+0
2016/05/31  13:58:31.004521	-5.451237E+0
2016/05/31  13:58:31.004522	-5.554991E+0
2016/05/31  13:58:31.004523	-5.658423E+0
2016/05/31  13:58:31.004524	-5.760888E+0
2016/05/31  13:58:31.004524	-5.863353E+0
2016/05/31  13:58:31.004525	-5.965818E+0
2016/05/31  13:58:31.004526	-6.067317E+0
2016/05/31  13:58:31.004527	-6.168816E+0
2016/05/31  13:58:31.004528	-6.269992E+0
2016/05/31  13:58:31.004528	-6.370202E+0
2016/05/31  13:58:31.004529	-6.471057E+0
2016/05/31  13:58:31.004530	-6.570945E+0
2016/05/31  13:58:31.004531	-6.670511E+0
2016/05/31  13:58:31.004532	-6.769111E+0
2016/05/31  13:58:31.004532	-6.868677E+0
2016/05/31  13:58:31.004533	-6.966632E+0
2016/05/31  13:58:31.004534	-7.064588E+0
2016/05/31  13:58:31.004535	-7.161577E+0
2016/05/31  13:58:31.004536	-7.258565E+0
2016/05/31  13:58:31.004536	-7.354910E+0
2016/05/31  13:58:31.004537	-7.451577E+0
2016/05/31  13:58:31.004538	-7.546955E+0
2016/05/31  13:58:31.004539	-7.642011E+0
2016/05/31  13:58:31.004540	-7.736423E+0
2016/05/31  13:58:31.004540	-7.831157E+0
2016/05/31  13:58:31.004541	-7.924924E+0
2016/05/31  13:58:31.004542	-8.018047E+0
2016/05/31  13:58:31.004543	-8.110526E+0
2016/05/31  13:58:31.004544	-8.203005E+0
2016/05/31  13:58:31.004544	-8.294517E+0
2016/05/31  13:58:31.004545	-8.385708E+0
2016/05/31  13:58:31.004546	-8.476898E+0
2016/05/31  13:58:31.004547	-8.566799E+0
2016/05/31  13:58:31.004548	-8.655734E+0
2016/05/31  13:58:31.004548	-8.745636E+0
2016/05/31  13:58:31.004549	-8.833605E+0
2016/05/31  13:58:31.004550	-8.920929E+0
2016/05/31  13:58:31.004551	-9.008897E+0
2016/05/31  13:58:31.004552	-9.095255E+0
2016/05/31  13:58:31.004552	-9.182257E+0
2016/05/31  13:58:31.004553	-9.267326E+0
2016/05/31  13:58:31.004554	-9.352717E+0
2016/05/31  13:58:31.004555	-9.436820E+0
2016/05/31  13:58:31.004556	-9.521245E+0
2016/05/31  13:58:31.004556	-9.604381E+0
2016/05/31  13:58:31.004557	-9.687517E+0
2016/05/31  13:58:31.004558	-9.769042E+0
2016/05/31  13:58:31.004559	-9.850889E+0
2016/05/31  13:58:31.004560	-9.931770E+0
2016/05/31  13:58:31.004560	-1.001201E+1
2016/05/31  13:58:31.004561	-1.009160E+1
2016/05/31  13:58:31.004562	-1.017087E+1
2016/05/31  13:58:31.004563	-1.024949E+1
