5.00000000000000e+005	-7.58202369288151e+001dB	-9.42113794028089e+001	
5.01152619038950e+005	-7.57892206168521e+001dB	-9.42264719717560e+001
5.02307895139198e+005	-7.57581397263726e+001dB	-9.42416504200183e+001
5.03465834425902e+005	-7.57269937987024e+001dB	-9.42569155118416e+001
5.04626443038342e+005	-7.56957823709773e+001dB	-9.42722680207423e+001
5.05789727129949e+005	-7.56645049760937e+001dB	-9.42877087296476e+001
5.06955692868340e+005	-7.56331611426580e+001dB	-9.43032384310389e+001
5.08124346435348e+005	-7.56017503949364e+001dB	-9.43188579270975e+001
5.09295694027058e+005	-7.55702722528023e+001dB	-9.43345680298531e+001
5.10469741853840e+005	-7.55387262316847e+001dB	-9.43503695613346e+001
5.11646496140377e+005	-7.55071118425143e+001dB	-9.43662633537245e+001
5.12825963125704e+005	-7.54754285916698e+001dB	-9.43822502495154e+001
5.14008149063236e+005	-7.54436759809229e+001dB	-9.43983311016693e+001
5.15193060220808e+005	-7.54118535073829e+001dB	-9.44145067737812e+001
5.16380702880698e+005	-7.53799606634398e+001dB	-9.44307781402438e+001
5.17571083339672e+005	-7.53479969367073e+001dB	-9.44471460864167e+001
5.18764207909006e+005	-7.53159618099642e+001dB	-9.44636115087983e+001
5.19960082914529e+005	-7.52838547610958e+001dB	-9.44801753152010e+001
5.21158714696652e+005	-7.52516752630334e+001dB	-9.44968384249294e+001
5.22360109610400e+005	-7.52194227836936e+001dB	-9.45136017689622e+001
5.23564274025449e+005	-7.51870967859165e+001dB	-9.45304662901380e+001
5.24771214326161e+005	-7.51546967274028e+001dB	-9.45474329433432e+001
5.25980936911611e+005	-7.51222220606500e+001dB	-9.45645026957052e+001
5.27193448195629e+005	-7.50896722328877e+001dB	-9.45816765267881e+001
5.28408754606829e+005	-7.50570466860120e+001dB	-9.45989554287927e+001
5.29626862588644e+005	-7.50243448565182e+001dB	-9.46163404067601e+001
5.30847778599362e+005	-7.49915661754337e+001dB	-9.46338324787796e+001
5.32071509112157e+005	-7.49587100682486e+001dB	-9.46514326762001e+001
5.33298060615128e+005	-7.49257759548457e+001dB	-9.46691420438461e+001
5.34527439611328e+005	-7.48927632494300e+001dB	-9.46869616402377e+001
5.35759652618802e+005	-7.48596713604558e+001dB	-9.47048925378148e+001
5.36994706170621e+005	-7.48264996905540e+001dB	-9.47229358231661e+001
5.38232606814916e+005	-7.47932476364572e+001dB	-9.47410925972620e+001
5.39473361114913e+005	-7.47599145889242e+001dB	-9.47593639756927e+001
5.40716975648968e+005	-7.47264999326632e+001dB	-9.47777510889108e+001
5.41963457010601e+005	-7.46930030462535e+001dB	-9.47962550824784e+001
5.43212811808532e+005	-7.46594233020662e+001dB	-9.48148771173201e+001
5.44465046666715e+005	-7.46257600661837e+001dB	-9.48336183699794e+001
5.45720168224377e+005	-7.45920126983178e+001dB	-9.48524800328822e+001
5.46978183136045e+005	-7.45581805517259e+001dB	-9.48714633146044e+001
5.48239098071591e+005	-7.45242629731273e+001dB	-9.48905694401447e+001
5.49502919716259e+005	-7.44902593026163e+001dB	-9.49097996512043e+001
5.50769654770706e+005	-7.44561688735753e+001dB	-9.49291552064705e+001
5.52039309951035e+005	-7.44219910125860e+001dB	-9.49486373819079e+001
5.53311891988832e+005	-7.43877250393389e+001dB	-9.49682474710540e+001
5.54587407631199e+005	-7.43533702665414e+001dB	-9.49879867853218e+001
5.55865863640794e+005	-7.43189259998250e+001dB	-9.50078566543087e+001
5.57147266795863e+005	-7.42843915376498e+001dB	-9.50278584261110e+001
5.58431623890279e+005	-7.42497661712086e+001dB	-9.50479934676459e+001
5.59718941733574e+005	-7.42150491843287e+001dB	-9.50682631649795e+001
5.61009227150980e+005	-7.41802398533720e+001dB	-9.50886689236619e+001
5.62302486983461e+005	-7.41453374471339e+001dB	-9.51092121690698e+001
5.63598728087753e+005	-7.41103412267402e+001dB	-9.51298943467551e+001
5.64897957336397e+005	-7.40752504455421e+001dB	-9.51507169228025e+001
5.66200181617777e+005	-7.40400643490100e+001dB	-9.51716813841931e+001
5.67505407836156e+005	-7.40047821746245e+001dB	-9.51927892391769e+001
5.68813642911714e+005	-7.39694031517669e+001dB	-9.52140420176529e+001
5.70124893780582e+005	-7.39339265016064e+001dB	-9.52354412715568e+001
5.71439167394884e+005	-7.38983514369862e+001dB	-9.52569885752580e+001
5.72756470722766e+005	-7.38626771623079e+001dB	-9.52786855259644e+001
5.74076810748439e+005	-7.38269028734129e+001dB	-9.53005337441365e+001
5.75400194472216e+005	-7.37910277574625e+001dB	-9.53225348739098e+001
5.76726628910544e+005	-7.37550509928159e+001dB	-9.53446905835274e+001
5.78056121096047e+005	-7.37189717489057e+001dB	-9.53670025657812e+001
5.79388678077561e+005	-7.36827891861114e+001dB	-9.53894725384633e+001
5.80724306920169e+005	-7.36465024556309e+001dB	-9.54121022448270e+001
5.82063014705243e+005	-7.36101106993492e+001dB	-9.54348934540583e+001
5.83404808530479e+005	-7.35736130497056e+001dB	-9.54578479617578e+001
5.84749695509933e+005	-7.35370086295573e+001dB	-9.54809675904331e+001
5.86097682774063e+005	-7.35002965520423e+001dB	-9.55042541900027e+001
5.87448777469762e+005	-7.34634759204378e+001dB	-9.55277096383107e+001
5.88802986760401e+005	-7.34265458280182e+001dB	-9.55513358416533e+001
5.90160317825862e+005	-7.33895053579086e+001dB	-9.55751347353174e+001
5.91520777862580e+005	-7.33523535829369e+001dB	-9.55991082841312e+001
5.92884374083577e+005	-7.33150895654832e+001dB	-9.56232584830272e+001
