1.00000000000000e+002	-7.03829283548573e+001dB	-9.76615664868404e+001
1.00023028502082e+002	-7.03769274495194e+001dB	-9.76633237829464e+001
1.00046062307284e+002	-7.03709265437687e+001dB	-9.76650814883559e+001
1.00069101416826e+002	-7.03649256376049e+001dB	-9.76668396031642e+001
1.00092145831930e+002	-7.03589247310279e+001dB	-9.76685981274666e+001
1.00115195553817e+002	-7.03529238240374e+001dB	-9.76703570613585e+001
1.00138250583710e+002	-7.03469229166334e+001dB	-9.76721164049351e+001
1.00161310922831e+002	-7.03409220088155e+001dB	-9.76738761582919e+001
1.00184376572403e+002	-7.03349211005836e+001dB	-9.76756363215242e+001
1.00207447533648e+002	-7.03289201919376e+001dB	-9.76773968947276e+001
1.00230523807790e+002	-7.03229192828772e+001dB	-9.76791578779973e+001
1.00253605396052e+002	-7.03169183734022e+001dB	-9.76809192714290e+001
1.00276692299659e+002	-7.03109174635125e+001dB	-9.76826810751180e+001
1.00299784519833e+002	-7.03049165532079e+001dB	-9.76844432891600e+001
1.00322882057800e+002	-7.02989156424882e+001dB	-9.76862059136504e+001
1.00345984914784e+002	-7.02929147313532e+001dB	-9.76879689486848e+001
1.00369093092010e+002	-7.02869138198027e+001dB	-9.76897323943588e+001
1.00392206590702e+002	-7.02809129078365e+001dB	-9.76914962507680e+001
1.00415325412088e+002	-7.02749119954545e+001dB	-9.76932605180081e+001
1.00438449557391e+002	-7.02689110826564e+001dB	-9.76950251961746e+001
1.00461579027839e+002	-7.02629101694421e+001dB	-9.76967902853633e+001
1.00484713824658e+002	-7.02569092558114e+001dB	-9.76985557856698e+001
1.00507853949074e+002	-7.02509083417641e+001dB	-9.77003216971900e+001
1.00530999402313e+002	-7.02449074273000e+001dB	-9.77020880200195e+001
1.00554150185604e+002	-7.02389065124189e+001dB	-9.77038547542541e+001
1.00577306300174e+002	-7.02329055971207e+001dB	-9.77056218999896e+001
1.00600467747249e+002	-7.02269046814051e+001dB	-9.77073894573218e+001
1.00623634528060e+002	-7.02209037652719e+001dB	-9.77091574263467e+001
1.00646806643832e+002	-7.02149028487211e+001dB	-9.77109258071599e+001
1.00669984095796e+002	-7.02089019317523e+001dB	-9.77126945998574e+001
1.00693166885180e+002	-7.02029010143654e+001dB	-9.77144638045352e+001
1.00716355013213e+002	-7.01969000965602e+001dB	-9.77162334212892e+001
1.00739548481125e+002	-7.01908991783365e+001dB	-9.77180034502152e+001
1.00762747290145e+002	-7.01848982596942e+001dB	-9.77197738914094e+001
1.00785951441503e+002	-7.01788973406330e+001dB	-9.77215447449677e+001
1.00809160936429e+002	-7.01728964211528e+001dB	-9.77233160109861e+001
1.00832375776155e+002	-7.01668955012533e+001dB	-9.77250876895608e+001
1.00855595961910e+002	-7.01608945809344e+001dB	-9.77268597807876e+001
1.00878821494927e+002	-7.01548936601959e+001dB	-9.77286322847629e+001
1.00902052376435e+002	-7.01488927390376e+001dB	-9.77304052015826e+001
1.00925288607668e+002	-7.01428918174593e+001dB	-9.77321785313429e+001
1.00948530189857e+002	-7.01368908954608e+001dB	-9.77339522741401e+001
1.00971777124234e+002	-7.01308899730420e+001dB	-9.77357264300702e+001
1.00995029412032e+002	-7.01248890502026e+001dB	-9.77375009992295e+001
1.01018287054483e+002	-7.01188881269424e+001dB	-9.77392759817143e+001
1.01041550052821e+002	-7.01128872032613e+001dB	-9.77410513776208e+001
1.01064818408279e+002	-7.01068862791591e+001dB	-9.77428271870453e+001
1.01088092122091e+002	-7.01008853546356e+001dB	-9.77446034100840e+001
1.01111371195490e+002	-7.00948844296906e+001dB	-9.77463800468334e+001
1.01134655629712e+002	-7.00888835043239e+001dB	-9.77481570973898e+001
1.01157945425989e+002	-7.00828825785353e+001dB	-9.77499345618495e+001
1.01181240585558e+002	-7.00768816523246e+001dB	-9.77517124403090e+001
1.01204541109654e+002	-7.00708807256917e+001dB	-9.77534907328648e+001
1.01227846999511e+002	-7.00648797986364e+001dB	-9.77552694396131e+001
1.01251158256365e+002	-7.00588788711584e+001dB	-9.77570485606506e+001
1.01274474881453e+002	-7.00528779432575e+001dB	-9.77588280960737e+001
1.01297796876010e+002	-7.00468770149336e+001dB	-9.77606080459789e+001
1.01321124241273e+002	-7.00408760861866e+001dB	-9.77623884104628e+001
1.01344456978479e+002	-7.00348751570161e+001dB	-9.77641691896219e+001
1.01367795088864e+002	-7.00288742274220e+001dB	-9.77659503835528e+001
1.01391138573667e+002	-7.00228732974042e+001dB	-9.77677319923523e+001
1.01414487434125e+002	-7.00168723669624e+001dB	-9.77695140161168e+001
1.01437841671476e+002	-7.00108714360964e+001dB	-9.77712964549430e+001
1.01461201286958e+002	-7.00048705048061e+001dB	-9.77730793089277e+001
1.01484566281809e+002	-6.99988695730912e+001dB	-9.77748625781675e+001
1.01507936657269e+002	-6.99928686409516e+001dB	-9.77766462627592e+001
1.01531312414576e+002	-6.99868677083870e+001dB	-9.77784303627995e+001
1.01554693554969e+002	-6.99808667753974e+001dB	-9.77802148783852e+001
1.01578080079690e+002	-6.99748658419824e+001dB	-9.77819998096132e+001
1.01601471989976e+002	-6.99688649081419e+001dB	-9.77837851565801e+001
1.01624869287069e+002	-6.99628639738758e+001dB	-9.77855709193830e+001
1.01648271972209e+002	-6.99568630391837e+001dB	-9.77873570981186e+001
1.01671680046637e+002	-6.99508621040656e+001dB	-9.77891436928838e+001
1.01695093511594e+002	-6.99448611685213e+001dB	-9.77909307037757e+001
1.01718512368321e+002	-6.99388602325504e+001dB	-9.77927181308910e+001
