waveform	[0]		[1]	
t0	2016/05/30  16:01:25.441386		2016/05/30  16:01:25.441387	
delta t	2.000000E-6		2.000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2016/05/30  16:01:25.441386	4.478421E-1	2016/05/30  16:01:25.441387	3.034257E-1
2016/05/30  16:01:25.441388	4.916440E-1	2016/05/30  16:01:25.441389	2.249697E-1
2016/05/30  16:01:25.441390	4.892284E-1	2016/05/30  16:01:25.441391	1.542434E-1
2016/05/30  16:01:25.441392	4.915473E-1	2016/05/30  16:01:25.441393	9.073161E-2
2016/05/30  16:01:25.441394	4.932221E-1	2016/05/30  16:01:25.441395	3.327470E-2
2016/05/30  16:01:25.441396	4.906133E-1	2016/05/30  16:01:25.441397	-1.812735E-2
2016/05/30  16:01:25.441398	4.937697E-1	2016/05/30  16:01:25.441399	-6.489163E-2
2016/05/30  16:01:25.441400	4.916762E-1	2016/05/30  16:01:25.441401	-1.069538E-1
2016/05/30  16:01:25.441402	4.928356E-1	2016/05/30  16:01:25.441403	-1.447968E-1
2016/05/30  16:01:25.441404	4.931899E-1	2016/05/30  16:01:25.441405	-1.790005E-1
2016/05/30  16:01:25.441406	4.919660E-1	2016/05/30  16:01:25.441407	-2.095327E-1
2016/05/30  16:01:25.441408	4.918694E-1	2016/05/30  16:01:25.441409	-2.374239E-1
2016/05/30  16:01:25.441410	4.947681E-1	2016/05/30  16:01:25.441411	-2.624488E-1
2016/05/30  16:01:25.441412	4.961852E-1	2016/05/30  16:01:25.441413	-2.850903E-1
2016/05/30  16:01:25.441414	4.936086E-1	2016/05/30  16:01:25.441415	-3.054452E-1
2016/05/30  16:01:25.441416	4.922237E-1	2016/05/30  16:01:25.441417	-3.239321E-1
2016/05/30  16:01:25.441418	4.959275E-1	2016/05/30  16:01:25.441419	-3.402933E-1
2016/05/30  16:01:25.441420	-4.974328E-1	2016/05/30  16:01:25.441421	-2.767165E-1
2016/05/30  16:01:25.441422	-4.983346E-1	2016/05/30  16:01:25.441423	-2.008046E-1
2016/05/30  16:01:25.441424	-5.025216E-1	2016/05/30  16:01:25.441425	-1.325904E-1
2016/05/30  16:01:25.441426	-5.018775E-1	2016/05/30  16:01:25.441427	-7.104313E-2
2016/05/30  16:01:25.441428	-4.993975E-1	2016/05/30  16:01:25.441429	-1.567963E-2
2016/05/30  16:01:25.441430	-4.984313E-1	2016/05/30  16:01:25.441431	3.433752E-2
2016/05/30  16:01:25.441432	-5.041964E-1	2016/05/30  16:01:25.441433	7.929820E-2
2016/05/30  16:01:25.441434	-4.980126E-1	2016/05/30  16:01:25.441435	1.199432E-1
2016/05/30  16:01:25.441436	-5.041320E-1	2016/05/30  16:01:25.441437	1.567556E-1
2016/05/30  16:01:25.441438	-5.036167E-1	2016/05/30  16:01:25.441439	1.898320E-1
2016/05/30  16:01:25.441440	-5.028759E-1	2016/05/30  16:01:25.441441	2.196233E-1
2016/05/30  16:01:25.441442	-5.045829E-1	2016/05/30  16:01:25.441443	2.465805E-1
2016/05/30  16:01:25.441444	-5.028759E-1	2016/05/30  16:01:25.441445	2.708323E-1
2016/05/30  16:01:25.441446	-5.028437E-1	2016/05/30  16:01:25.441447	2.925719E-1
2016/05/30  16:01:25.441448	-5.031980E-1	2016/05/30  16:01:25.441449	3.121538E-1
2016/05/30  16:01:25.441450	-5.003315E-1	2016/05/30  16:01:25.441451	3.298354E-1
2016/05/30  16:01:25.441452	-5.025216E-1	2016/05/30  16:01:25.441453	3.302219E-1
2016/05/30  16:01:25.441454	4.915151E-1	2016/05/30  16:01:25.441455	2.488350E-1
2016/05/30  16:01:25.441456	4.887453E-1	2016/05/30  16:01:25.441457	1.757254E-1
2016/05/30  16:01:25.441458	4.904523E-1	2016/05/30  16:01:25.441459	1.101523E-1
2016/05/30  16:01:25.441460	4.934154E-1	2016/05/30  16:01:25.441461	5.108505E-2
2016/05/30  16:01:25.441462	4.920949E-1	2016/05/30  16:01:25.441463	-2.184981E-3
2016/05/30  16:01:25.441464	4.919338E-1	2016/05/30  16:01:25.441465	-5.030194E-2
2016/05/30  16:01:25.441466	4.925780E-1	2016/05/30  16:01:25.441467	-9.365233E-2
2016/05/30  16:01:25.441468	4.939629E-1	2016/05/30  16:01:25.441469	-1.327192E-1
2016/05/30  16:01:25.441470	4.904523E-1	2016/05/30  16:01:25.441471	-1.679214E-1
2016/05/30  16:01:25.441472	4.919983E-1	2016/05/30  16:01:25.441473	-1.998706E-1
2016/05/30  16:01:25.441474	4.923847E-1	2016/05/30  16:01:25.441475	-2.283094E-1
2016/05/30  16:01:25.441476	4.942850E-1	2016/05/30  16:01:25.441477	-2.543648E-1
2016/05/30  16:01:25.441478	4.921915E-1	2016/05/30  16:01:25.441479	-2.775861E-1
2016/05/30  16:01:25.441480	4.930611E-1	2016/05/30  16:01:25.441481	-2.985529E-1
2016/05/30  16:01:25.441482	4.938341E-1	2016/05/30  16:01:25.441483	-3.174907E-1
2016/05/30  16:01:25.441484	4.948647E-1	2016/05/30  16:01:25.441485	-3.345604E-1
2016/05/30  16:01:25.441486	-4.187501E-1	2016/05/30  16:01:25.441487	-3.034484E-1
2016/05/30  16:01:25.441488	-4.995585E-1	2016/05/30  16:01:25.441489	-2.248632E-1
2016/05/30  16:01:25.441490	-4.995263E-1	2016/05/30  16:01:25.441491	-1.542656E-1
2016/05/30  16:01:25.441492	-4.997196E-1	2016/05/30  16:01:25.441493	-9.068930E-2
2016/05/30  16:01:25.441494	-4.989144E-1	2016/05/30  16:01:25.441495	-3.345778E-2
2016/05/30  16:01:25.441496	-5.008146E-1	2016/05/30  16:01:25.441497	1.829854E-2
2016/05/30  16:01:25.441498	-5.021351E-1	2016/05/30  16:01:25.441499	6.480514E-2
2016/05/30  16:01:25.441500	-5.003315E-1	2016/05/30  16:01:25.441501	1.067384E-1
2016/05/30  16:01:25.441502	-5.007180E-1	2016/05/30  16:01:25.441503	1.449679E-1
2016/05/30  16:01:25.441504	-5.015232E-1	2016/05/30  16:01:25.441505	1.791393E-1
2016/05/30  16:01:25.441506	-5.000416E-1	2016/05/30  16:01:25.441507	2.098646E-1
2016/05/30  16:01:25.441508	-5.032302E-1	2016/05/30  16:01:25.441509	2.378202E-1
2016/05/30  16:01:25.441510	-5.004926E-1	2016/05/30  16:01:25.441511	2.627161E-1
2016/05/30  16:01:25.441512	-5.015554E-1	2016/05/30  16:01:25.441513	2.853898E-1
2016/05/30  16:01:25.441514	-5.036167E-1	2016/05/30  16:01:25.441515	3.057446E-1
2016/05/30  16:01:25.441516	-5.011367E-1	2016/05/30  16:01:25.441517	3.240059E-1
2016/05/30  16:01:25.441518	-5.022640E-1	2016/05/30  16:01:25.441519	3.420418E-1
2016/05/30  16:01:25.441520	4.941883E-1	2016/05/30  16:01:25.441521	2.742462E-1
2016/05/30  16:01:25.441522	4.882300E-1	2016/05/30  16:01:25.441523	1.987533E-1
2016/05/30  16:01:25.441524	4.903879E-1	2016/05/30  16:01:25.441525	1.307969E-1
2016/05/30  16:01:25.441526	4.966039E-1	2016/05/30  16:01:25.441527	6.960396E-2
2016/05/30  16:01:25.441528	4.905489E-1	2016/05/30  16:01:25.441529	1.443372E-2
2016/05/30  16:01:25.441530	4.910964E-1	2016/05/30  16:01:25.441531	-3.519695E-2
2016/05/30  16:01:25.441532	4.907422E-1	2016/05/30  16:01:25.441533	-8.025429E-2
2016/05/30  16:01:25.441534	4.913219E-1	2016/05/30  16:01:25.441535	-1.207705E-1
2016/05/30  16:01:25.441536	4.916118E-1	2016/05/30  16:01:25.441537	-1.572609E-1
2016/05/30  16:01:25.441538	4.927390E-1	2016/05/30  16:01:25.441539	-1.904340E-1
2016/05/30  16:01:25.441540	4.948969E-1	2016/05/30  16:01:25.441541	-2.200644E-1
2016/05/30  16:01:25.441542	4.921593E-1	2016/05/30  16:01:25.441543	-2.465707E-1
2016/05/30  16:01:25.441544	4.930611E-1	2016/05/30  16:01:25.441545	-2.707260E-1
2016/05/30  16:01:25.441546	4.922881E-1	2016/05/30  16:01:25.441547	-2.922725E-1
2016/05/30  16:01:25.441548	4.968938E-1	2016/05/30  16:01:25.441549	-3.118222E-1
2016/05/30  16:01:25.441550	4.925458E-1	2016/05/30  16:01:25.441551	-3.295039E-1
2016/05/30  16:01:25.441552	4.975057E-1	2016/05/30  16:01:25.441553	-3.314686E-1
2016/05/30  16:01:25.441554	-4.966921E-1	2016/05/30  16:01:25.441555	-2.501457E-1
2016/05/30  16:01:25.441556	-5.007824E-1	2016/05/30  16:01:25.441557	-1.769715E-1
2016/05/30  16:01:25.441558	-4.974328E-1	2016/05/30  16:01:25.441559	-1.110762E-1
2016/05/30  16:01:25.441560	-5.008790E-1	2016/05/30  16:01:25.441561	-5.165463E-2
2016/05/30  16:01:25.441562	-4.993331E-1	2016/05/30  16:01:25.441563	1.744248E-3
2016/05/30  16:01:25.441564	-4.993009E-1	2016/05/30  16:01:25.441565	4.989340E-2
2016/05/30  16:01:25.441566	-4.986245E-1	2016/05/30  16:01:25.441567	9.356581E-2
